00000000000201f0 D _NDR_record
0000000000013561 T _posix_spawnattr_get_qos_clamp_np
0000000000012cb8 T _posix_spawnattr_getbinpref_np
00000000000132ca T _posix_spawnattr_getcpumonitor
0000000000012c4f T _posix_spawnattr_getflags
0000000000013369 T _posix_spawnattr_getmacpolicyinfo_np
0000000000012d23 T _posix_spawnattr_getpcontrol_np
0000000000012c84 T _posix_spawnattr_getpgroup
0000000000012d3d T _posix_spawnattr_getprocesstype_np
0000000000012c6a T _posix_spawnattr_getsigdefault
0000000000012c9e T _posix_spawnattr_getsigmask
0000000000012b54 T _posix_spawnattr_init
00000000000133c8 t _posix_spawnattr_macpolicyinfo_lookup
00000000000132ed T _posix_spawnattr_set_importancewatch_port_np
0000000000013542 T _posix_spawnattr_set_qos_clamp_np
0000000000012f91 T _posix_spawnattr_setauditsessionport_np
0000000000012da3 T _posix_spawnattr_setbinpref_np
0000000000013529 T _posix_spawnattr_setcoalition_np
00000000000132ad T _posix_spawnattr_setcpumonitor
0000000000013288 T _posix_spawnattr_setcpumonitor_default
0000000000012f5f T _posix_spawnattr_setexceptionports_np
0000000000012c37 T _posix_spawnattr_setflags
0000000000013424 T _posix_spawnattr_setmacpolicyinfo_np
0000000000012e0e T _posix_spawnattr_setpcontrol_np
0000000000012d71 T _posix_spawnattr_setpgroup
0000000000012e26 T _posix_spawnattr_setprocesstype_np
0000000000012d57 T _posix_spawnattr_setsigdefault
0000000000012d89 T _posix_spawnattr_setsigmask
0000000000012e3e T _posix_spawnattr_setspecialport_np
00000000000175cc T _pread
0000000000016098 T _pread$NOCANCEL
0000000000012785 T _proc_clear_delayidlesleep
00000000000121b0 T _proc_clear_dirty
00000000000126c6 T _proc_clear_vmpressure
00000000000126b9 T _proc_denap_assertion_begin_with_msg
00000000000126c1 T _proc_denap_assertion_complete
00000000000127c0 T _proc_disable_apptype
000000000001233c T _proc_disable_cpumon
0000000000012542 T _proc_disable_wakemon
000000000001256c T _proc_donate_importance_boost
0000000000012810 T _proc_enable_apptype
000000000001227f T _proc_get_cpumon_params
0000000000012167 T _proc_get_dirty
00000000000124d8 T _proc_get_wakemon_params
00000000000125b4 T _proc_importance_assertion_begin_with_msg
0000000000012654 T _proc_importance_assertion_complete
0000000000011ff9 T _proc_kmsgbuf
0000000000012091 T _proc_libversion
0000000000011d1f T _proc_listallpids
0000000000011d95 T _proc_listchildpids
0000000000011d5a T _proc_listpgrppids
0000000000011cf1 T _proc_listpids
000000000001461f T _proc_listpidspath
0000000000011ee0 T _proc_name
0000000000011e3b T _proc_pid_rusage
0000000000011e93 T _proc_pidfdinfo
0000000000011eba T _proc_pidfileportinfo
0000000000011dd0 T _proc_pidinfo
0000000000011dfa T _proc_pidoriginatorinfo
0000000000012027 T _proc_pidpath
0000000000011f6b T _proc_regionfilename
00000000000175e4 T _proc_rlimit_control
00000000000122e6 T _proc_set_cpumon_defaults
000000000001222e T _proc_set_cpumon_params
0000000000012392 T _proc_set_cpumon_params_fatal
0000000000012747 T _proc_set_delayidlesleep
000000000001212d T _proc_set_dirty
000000000001270c T _proc_set_owner_vmpressure
0000000000012518 T _proc_set_wakemon_defaults
00000000000124b2 T _proc_set_wakemon_params
00000000000120aa T _proc_setpcontrol
0000000000011e53 T _proc_setthread_cpupercent
0000000000012860 T _proc_suppress
00000000000121e8 T _proc_terminate
00000000000175fc T _proc_trace_log
00000000000120f5 T _proc_track_dirty
0000000000017614 T _proc_uuid_policy
0000000000009d94 T _processor_assign
0000000000009c9a T _processor_control
0000000000009a49 T _processor_exit
0000000000009e61 T _processor_get_assignment
0000000000009af4 T _processor_info
0000000000004a5d T _processor_set_create
000000000000496f T _processor_set_default
000000000000910f T _processor_set_destroy
0000000000009816 T _processor_set_info
00000000000091ba T _processor_set_max_priority
00000000000095ea T _processor_set_policy_control
000000000000933d T _processor_set_policy_disable
000000000000927d T _processor_set_policy_enable
0000000000009701 T _processor_set_stack_usage
0000000000008fa5 T _processor_set_statistics
0000000000009400 T _processor_set_tasks
00000000000094f5 T _processor_set_threads
000000000000999e T _processor_start
0000000000015b80 T _pthread_getugid_np
00000000000165cc T _pthread_setugid_np
00000000000162c0 T _ptrace
000000000001762c T _pwrite
00000000000162e4 T _pwrite$NOCANCEL
0000000000017644 T _quota
000000000001765c T _quotactl
0000000000017674 T _read
00000000000162fc T _read$NOCANCEL
000000000001768c T _readlink
00000000000176a4 T _readlinkat
00000000000176bc T _readv
0000000000016314 T _readv$NOCANCEL
0000000000000b2a t _realloc
0000000000000b3a t _reallocf
00000000000176d4 T _reboot
000000000001632c T _recvfrom
0000000000016344 T _recvfrom$NOCANCEL
000000000001635c T _recvmsg
0000000000016374 T _recvmsg$NOCANCEL
00000000000176ec T _recvmsg_x
0000000000017704 T _removexattr
0000000000014522 T _rename
000000000001297b T _rename_ext
000000000000ff83 T _renameat
000000000001771c T _revoke
0000000000014503 T _rmdir
0000000000017734 T _searchfs
0000000000013bc9 T _select
0000000000013c14 T _select$1050
00000000000163ec T _select$DARWIN_EXTSN
0000000000016404 T _select$DARWIN_EXTSN$NOCANCEL
0000000000013c38 T _select$NOCANCEL
000000000001774c T _sem_close
0000000000013a10 T _sem_destroy
0000000000013a26 T _sem_getvalue
0000000000013a3c T _sem_init
000000000001641c T _sem_open
0000000000017764 T _sem_post
000000000001777c T _sem_trywait
0000000000017794 T _sem_unlink
00000000000177ac T _sem_wait
0000000000016434 T _sem_wait$NOCANCEL
000000000000b826 T _semaphore_create
000000000000b928 T _semaphore_destroy
000000000001195a T _semaphore_signal
000000000001195f T _semaphore_signal_all
0000000000011548 T _semaphore_signal_all_trap
0000000000011964 T _semaphore_signal_thread
0000000000011554 T _semaphore_signal_thread_trap
000000000001153c T _semaphore_signal_trap
000000000001196e T _semaphore_timedwait
000000000001197f T _semaphore_timedwait_signal
0000000000011584 T _semaphore_timedwait_signal_trap
0000000000011578 T _semaphore_timedwait_trap
0000000000011969 T _semaphore_wait
000000000001197a T _semaphore_wait_signal
000000000001156c T _semaphore_wait_signal_trap
0000000000011560 T _semaphore_wait_trap
000000000001644c T _semctl
00000000000177c4 T _semget
00000000000177dc T _semop
0000000000016464 T _semsys
00000000000177f4 T _sendfile
00000000000164ac T _sendmsg
00000000000164c4 T _sendmsg$NOCANCEL
000000000001780c T _sendmsg_x
00000000000164dc T _sendto
00000000000164f4 T _sendto$NOCANCEL
0000000000003316 T _set_dp_control_port
000000000001650c T _setattrlist
00000000000155c1 T _setaudit
0000000000017824 T _setaudit_addr
000000000001783c T _setauid
0000000000017854 T _setegid
000000000001786c T _seteuid
0000000000017884 T _setgid
000000000001789c T _setgroups
0000000000011c45 T _setiopolicy_np
00000000000178b4 T _setitimer
00000000000178cc T _setpgid
00000000000136bf T _setpriority
00000000000178e4 T _setprivexec
00000000000178fc T _setquota
000000000001656c T _setregid
0000000000016584 T _setreuid
0000000000013c5c T _setrlimit
00000000000165b4 T _setsgroups_np
0000000000017914 T _setsid
000000000001792c T _setsockopt
0000000000017944 T _setuid
0000000000016614 T _setwgroups_np
000000000001795c T _setxattr
0000000000013928 T _sfi_get_class_offtime
0000000000013952 T _sfi_process_get_flags
000000000001393e T _sfi_process_set_flags
0000000000013912 T _sfi_set_class_offtime
000000000001668c T _shm_open
0000000000017974 T _shm_unlink
000000000001798c T _shmat
00000000000166a4 T _shmctl
00000000000179a4 T _shmdt
00000000000179bc T _shmget
00000000000166bc T _shmsys
00000000000179d4 T _shutdown
00000000000179ec T _sigpending
0000000000017a04 T _sigprocmask
0000000000013c78 T _sigsuspend
0000000000013c67 T _sigsuspend$NOCANCEL
0000000000017a1c T _socket
0000000000017a34 T _socket_delegate
0000000000016764 T _socketpair
0000000000017a4c T _stat
0000000000017a64 T _stat$INODE64
0000000000017a64 T _stat64
0000000000017a7c T _statfs
0000000000017a94 T _statfs$INODE64
0000000000017a94 T _statfs64
0000000000000ca8 t _strcmp
0000000000000e59 t _strlcpy
0000000000000c01 t _strlen
0000000000017aac T _swapon
0000000000011614 T _swtch
0000000000011608 T _swtch_pri
0000000000017ac4 T _symlink
0000000000017adc T _symlinkat
0000000000017af4 T _sync
00000000000167c4 T _syscall
0000000000011620 T _syscall_thread_switch
00000000000138fe T _system_get_sfi_window
0000000000017b0c T _system_override
00000000000138ea T _system_set_sfi_window
000000000000c2f1 T _task_assign
000000000000c3be T _task_assign_default
000000000000a429 T _task_create
00000000000115b4 T _task_for_pid
000000000000c47e T _task_get_assignment
000000000000bf2f T _task_get_emulation_vector
000000000000b1ec T _task_get_exception_ports
000000000000cd3f T _task_get_mach_voucher
000000000000acdb T _task_get_special_port
000000000000c6d1 T _task_get_state
000000000000a8a6 T _task_info
00000000000115a8 T _task_name_for_pid
000000000000bd48 T _task_policy
000000000000bae7 T _task_policy_get
000000000000b9e4 T _task_policy_set
000000000000cc33 T _task_purgable_info
000000000000ac30 T _task_resume
000000000000cb88 T _task_resume2
000000000000bc8c T _task_sample
000000000001199d T _task_self_
000000000001150c T _task_self_trap
000000000000be6b T _task_set_emulation
000000000000c032 T _task_set_emulation_vector
000000000000b118 T _task_set_exception_ports
000000000000aa4f T _task_set_info
000000000000ce3e T _task_set_mach_voucher
000000000000c9b8 T _task_set_phys_footprint_limit
000000000000c56c T _task_set_policy
0000000000014f03 T _task_set_port_space
000000000000c10d T _task_set_ras_pc
000000000000adda T _task_set_special_port
000000000000c87f T _task_set_state
000000000000ab85 T _task_suspend
000000000000ca9a T _task_suspend2
000000000000b419 T _task_swap_exception_ports
000000000000cefa T _task_swap_mach_voucher
000000000000a540 T _task_terminate
000000000000a5eb T _task_threads
000000000000c1d2 T _task_zone_info
000000000000d7d5 T _thread_abort
000000000000d880 T _thread_abort_safely
000000000000e797 T _thread_assign
000000000000e853 T _thread_assign_default
000000000000aea7 T _thread_create
000000000000af95 T _thread_create_running
000000000000d92b T _thread_depress_abort
000000000000e8fe T _thread_get_assignment
000000000000dde0 T _thread_get_exception_ports
000000000000eb42 T _thread_get_mach_voucher
000000000000d9d6 T _thread_get_special_port
000000000000d398 T _thread_get_state
000000000000dba2 T _thread_info
0000000000012903 T _thread_policy
000000000000e476 T _thread_policy_get
0000000000012929 T _thread_policy_set
000000000000d72a T _thread_resume
000000000000e61b T _thread_sample
0000000000011500 T _thread_self_trap
000000000000dd0c T _thread_set_exception_ports
000000000000ec41 T _thread_set_mach_voucher
000000000001294f T _thread_set_policy
000000000000dad5 T _thread_set_special_port
000000000000d546 T _thread_set_state
000000000000d67f T _thread_suspend
000000000000e00d T _thread_swap_exception_ports
000000000000ecfd T _thread_swap_mach_voucher
000000000001184a T _thread_switch
000000000000d006 T _thread_terminate
00000000000022a2 T _thread_wire
0000000000017b24 T _truncate
0000000000017b3c T _umask
0000000000017b54 T _undelete
00000000000144e4 T _unlink
000000000000ee09 T _unlinkat
0000000000017b6c T _unmount
0000000000017b84 T _utimes
000000000001689c T _vfork
0000000000017b9c T _vfs_purge
0000000000015206 T _vm_allocate
000000000000236f T _vm_allocate_cpm
000000000000f488 T _vm_behavior_set
000000000000f20b T _vm_copy
000000000001522d T _vm_deallocate
000000000000ee28 T _vm_inherit
0000000000020250 S _vm_kernel_page_mask
0000000000020258 S _vm_kernel_page_shift
0000000000020248 S _vm_kernel_page_size
000000000000f67f T _vm_machine_attribute
0000000000015409 T _vm_map
000000000000f89c T _vm_map_page_query
000000000000f3c0 T _vm_msync
0000000000020268 S _vm_page_mask
0000000000020270 S _vm_page_shift
0000000000020260 S _vm_page_size
0000000000017bb4 T _vm_pressure_monitor
0000000000015232 T _vm_protect
000000000000fe85 T _vm_purgable_control
000000000001552f T _vm_read
000000000000effb T _vm_read_list
000000000000f2d4 T _vm_read_overwrite
000000000000fb87 T _vm_region_64
000000000000f98c T _vm_region_recurse_64
000000000001549a T _vm_remap
00000000000021cc T _vm_wire
000000000000f136 T _vm_write
0000000000000bd4 T _voucher_mach_msg_adopt
0000000000000bc1 T _voucher_mach_msg_clear
0000000000000bee T _voucher_mach_msg_revert
0000000000000bac T _voucher_mach_msg_set
0000000000020230 S _vprintf_stderr_func
000000000001690c T _wait4
0000000000017bcc T _waitevent
0000000000017be4 T _waitid
0000000000016924 T _waitid$NOCANCEL
0000000000017bfc T _watchevent
0000000000017c14 T _write
000000000001696c T _write$NOCANCEL
0000000000017c2c T _writev
0000000000016984 T _writev$NOCANCEL
